"DateTime","E07SP"
"20.05.2005 08:41:10",86
"20.05.2005 08:41:20",100
"20.05.2005 08:41:30",100
"20.05.2005 13:15:10",99
"20.05.2005 14:05:20",77
"20.05.2005 14:05:30",56
"20.05.2005 14:05:40",35
"20.05.2005 14:05:50",14
"20.05.2005 14:06:00",3
"20.05.2005 14:06:10",0
"21.05.2005 12:33:10",15
"21.05.2005 12:33:20",36
"21.05.2005 12:33:30",46
"21.05.2005 12:33:40",67
"21.05.2005 12:33:50",88
"21.05.2005 12:34:00",100
"21.05.2005 13:08:00",99
"21.05.2005 14:05:10",87
"21.05.2005 14:05:20",77
"21.05.2005 14:05:30",56
"21.05.2005 14:05:40",35
"21.05.2005 14:05:50",14
"21.05.2005 14:06:00",3
"21.05.2005 14:06:10",0
"22.05.2005 08:45:20",3
"22.05.2005 08:45:30",15
"22.05.2005 08:45:40",36
"22.05.2005 08:45:50",57
"22.05.2005 08:46:00",67
"22.05.2005 08:46:10",88
"22.05.2005 08:46:20",100
"22.05.2005 09:34:20",99
"22.05.2005 09:53:20",100
"22.05.2005 11:52:10",99
"22.05.2005 12:08:10",100
"22.05.2005 14:05:10",88
"22.05.2005 14:05:20",67
"22.05.2005 14:05:30",46
"22.05.2005 14:05:40",35
"22.05.2005 14:05:50",14
"22.05.2005 14:06:00",0
"22.05.2005 14:06:10",0
"23.05.2005 10:35:20",15
"23.05.2005 10:35:30",36
"23.05.2005 10:35:40",46
"23.05.2005 10:35:50",67
"23.05.2005 10:36:00",88
"23.05.2005 10:36:10",100
"23.05.2005 13:15:10",99
"23.05.2005 14:05:10",87
"23.05.2005 14:05:20",77
"23.05.2005 14:05:30",56
"23.05.2005 14:05:40",35
"23.05.2005 14:05:50",14
"23.05.2005 14:06:00",3
"23.05.2005 14:06:10",0
"24.05.2005 08:30:10",14
"24.05.2005 08:30:20",35
"24.05.2005 08:30:30",45
"24.05.2005 08:30:40",66
"24.05.2005 08:30:50",87
"24.05.2005 08:31:00",100
"24.05.2005 12:40:10",99
"24.05.2005 14:05:20",77
"24.05.2005 14:05:30",56
"24.05.2005 14:05:40",35
"24.05.2005 14:05:50",24
"24.05.2005 14:06:00",3
"24.05.2005 14:06:10",0
"25.05.2005 08:39:20",2
"25.05.2005 08:39:30",15
"25.05.2005 08:39:40",36
"25.05.2005 08:39:50",57
"25.05.2005 08:40:00",67
"25.05.2005 08:40:10",88
"25.05.2005 08:40:20",100
"25.05.2005 11:22:10",99
"25.05.2005 14:05:10",87
"25.05.2005 14:05:20",66
"25.05.2005 14:05:30",56
"25.05.2005 14:05:40",35
"25.05.2005 14:05:50",24
"25.05.2005 14:06:00",3
"25.05.2005 14:06:10",0
"26.05.2005 08:30:10",14
"26.05.2005 08:30:20",25
"26.05.2005 08:30:30",46
"26.05.2005 08:30:40",67
"26.05.2005 08:30:50",88
"26.05.2005 08:31:00",100
"26.05.2005 08:31:10",100
"26.05.2005 10:57:10",99
"26.05.2005 14:05:20",77
"26.05.2005 14:05:30",56
"26.05.2005 14:05:40",35
"26.05.2005 14:05:50",14
"26.05.2005 14:06:00",0
"26.05.2005 14:06:10",0
"27.05.2005 08:30:10",14
"27.05.2005 08:30:20",35
"27.05.2005 08:30:30",43
"27.05.2005 11:05:10",42
"27.05.2005 13:04:40",20
"27.05.2005 13:04:50",9
"27.05.2005 13:05:00",0
"28.05.2005 08:30:10",14
"28.05.2005 08:30:20",35
"28.05.2005 08:30:30",46
"28.05.2005 08:30:40",67
"28.05.2005 08:30:50",88
"28.05.2005 08:31:00",100
"28.05.2005 11:11:10",99
"28.05.2005 14:05:10",87
"28.05.2005 14:05:20",77
"28.05.2005 14:05:30",56
"28.05.2005 14:05:40",35
"28.05.2005 14:05:50",14
"28.05.2005 14:06:00",0
"28.05.2005 14:06:10",0
"29.05.2005 08:30:10",14
"29.05.2005 08:30:20",35
"29.05.2005 08:30:30",46
"29.05.2005 08:30:40",67
"29.05.2005 08:30:50",88
"29.05.2005 08:31:00",100
"29.05.2005 08:31:10",100
"29.05.2005 12:15:10",99
"29.05.2005 14:05:20",66
"29.05.2005 14:05:30",56
"29.05.2005 14:05:40",35
"29.05.2005 14:05:50",14
"29.05.2005 14:06:00",0
"29.05.2005 14:06:10",0
"30.05.2005 09:02:20",4
"30.05.2005 09:02:30",15
"30.05.2005 09:02:40",36
"30.05.2005 09:02:50",37
"30.05.2005 10:46:40",33
"30.05.2005 10:46:50",13
"30.05.2005 10:47:00",0
"30.05.2005 10:47:10",0
"31.05.2005 08:30:10",14
"31.05.2005 08:30:20",30
"31.05.2005 08:30:30",27
"31.05.2005 09:00:50",41
"31.05.2005 09:01:00",44
"31.05.2005 10:17:50",40
"31.05.2005 10:18:00",19
"31.05.2005 10:18:10",0
"31.05.2005 10:18:20",0
"01.06.2005 08:15:10",14
"01.06.2005 08:15:20",35
"01.06.2005 08:15:30",39
"01.06.2005 12:45:40",18
"01.06.2005 12:45:50",8
"01.06.2005 12:46:00",0
"02.06.2005 08:15:10",14
"02.06.2005 08:15:20",25
"02.06.2005 08:15:30",46
"02.06.2005 08:15:40",61
"02.06.2005 08:15:50",52
"02.06.2005 11:11:50",29
"02.06.2005 11:12:00",19
"02.06.2005 11:12:10",0
"02.06.2005 11:12:20",0
"03.06.2005 08:15:10",14
"03.06.2005 08:15:20",35
"03.06.2005 08:15:30",46
"03.06.2005 08:15:40",67
"03.06.2005 08:15:50",88
"03.06.2005 08:16:00",100
"03.06.2005 11:07:10",99
"03.06.2005 14:05:20",66
"03.06.2005 14:05:30",56
"03.06.2005 14:05:40",35
"03.06.2005 14:05:50",14
"03.06.2005 14:06:00",0
"03.06.2005 14:06:10",0
"04.06.2005 08:15:10",14
"04.06.2005 08:15:20",35
"04.06.2005 08:15:30",46
"04.06.2005 08:15:40",67
"04.06.2005 08:15:50",88
"04.06.2005 08:16:00",100
"04.06.2005 09:04:40",96
"04.06.2005 09:04:50",75
"04.06.2005 09:05:00",54
"04.06.2005 09:05:10",33
"04.06.2005 09:05:20",23
"04.06.2005 09:05:30",2
"04.06.2005 09:05:40",0
"04.06.2005 09:20:20",15
"04.06.2005 09:20:30",25
"04.06.2005 09:20:40",46
"04.06.2005 09:20:50",67
"04.06.2005 09:21:00",88
"04.06.2005 09:21:10",100
"04.06.2005 09:21:20",100
"04.06.2005 09:26:00",96
"04.06.2005 09:26:10",75
"04.06.2005 09:26:20",65
"04.06.2005 09:26:30",44
"04.06.2005 09:26:40",23
"04.06.2005 09:26:50",2
"04.06.2005 09:27:00",0
"04.06.2005 09:38:10",0
"04.06.2005 09:38:20",15
"04.06.2005 09:38:30",36
"04.06.2005 09:38:40",57
"04.06.2005 09:38:50",67
"04.06.2005 09:39:00",88
"04.06.2005 09:39:10",100
"04.06.2005 11:27:10",99
"04.06.2005 14:05:10",87
"04.06.2005 14:05:20",77
"04.06.2005 14:05:30",56
"04.06.2005 14:05:40",35
"04.06.2005 14:05:50",14
"04.06.2005 14:06:00",3
"04.06.2005 14:06:10",0
"05.06.2005 08:15:10",14
"05.06.2005 08:15:20",35
"05.06.2005 08:15:30",46
"05.06.2005 08:15:40",67
"05.06.2005 08:15:50",88
"05.06.2005 08:16:00",100
"05.06.2005 11:08:10",99
"05.06.2005 14:05:20",66
"05.06.2005 14:05:30",56
"05.06.2005 14:05:40",35
"05.06.2005 14:05:50",14
"05.06.2005 14:06:00",0
"05.06.2005 14:06:10",0
"06.06.2005 08:15:10",14
"06.06.2005 08:15:20",35
"06.06.2005 08:15:30",56
"06.06.2005 08:15:40",67
"06.06.2005 08:15:50",88
"06.06.2005 08:16:00",100
"06.06.2005 09:40:20",99
"06.06.2005 14:05:10",87
"06.06.2005 14:05:20",66
"06.06.2005 14:05:30",56
"06.06.2005 14:05:40",35
"06.06.2005 14:05:50",14
"06.06.2005 14:06:00",0
"06.06.2005 14:06:10",0
"08.06.2005 08:15:10",14
"08.06.2005 08:15:20",21
"08.06.2005 10:17:10",25
"08.06.2005 10:17:20",35
"08.06.2005 10:17:30",56
"08.06.2005 10:17:40",77
"08.06.2005 10:17:50",98
"08.06.2005 10:18:00",100
"08.06.2005 12:26:30",96
"08.06.2005 12:26:40",75
"08.06.2005 12:26:50",65
"08.06.2005 12:27:00",44
"08.06.2005 12:27:10",23
"08.06.2005 12:27:20",2
"08.06.2005 12:27:30",0
"09.06.2005 08:15:10",14
"09.06.2005 08:15:20",35
"09.06.2005 08:15:30",22
"09.06.2005 08:15:40",1
"09.06.2005 08:15:50",0
"09.06.2005 08:46:30",14
"09.06.2005 08:46:40",35
"09.06.2005 08:46:50",43
"09.06.2005 11:50:00",29
"09.06.2005 11:50:10",8
"09.06.2005 11:50:20",0
"10.06.2005 08:19:20",4
"10.06.2005 08:19:30",25
